Date,Manufacturer,Category,Region,Production_Volume,Average_Price,GDP_Growth,Steel_Price,US_Tariff_Rate,US_EV_Subsidy,EV_Share,Oil_Price,Interest_Rate
2010-01-31,Ford,Passenger_Cars,Europe,24223,25392.74,0.0092,696.57,0.025,7500,0.0333,71.54,0.0286
2010-01-31,Ford,Passenger_Cars,Asia_Pacific,29319,24722.74,0.0184,705.02,0.025,7500,0.0333,63.96,0.0308
2010-01-31,Ford,Passenger_Cars,China,32236,24886.67,0.0139,662.63,0.025,7500,0.0333,91.79,0.0334
2010-01-31,Ford,Commercial_Vehicles,North_America,5942,43023.74,0.0142,671.04,0.025,7500,0.0333,69.26,0.0351
2010-01-31,Ford,Commercial_Vehicles,Europe,8527,46138.29,0.0084,657.25,0.025,7500,0.0333,59.19,0.0311
2010-01-31,Ford,Commercial_Vehicles,Asia_Pacific,9179,46877.76,0.0128,742.0,0.025,7500,0.0333,60.57,0.0243
2010-01-31,Ford,Commercial_Vehicles,China,9598,44284.54,0.0218,671.43,0.025,7500,0.0333,82.27,0.0293
2010-01-31,Ford,Electric_Vehicles,North_America,1036,40211.34,0.0156,731.01,0.025,7500,0.0333,79.16,0.0288
2010-01-31,Ford,Electric_Vehicles,Europe,1417,40378.3,0.0146,727.81,0.025,7500,0.0333,79.09,0.0344
2010-01-31,Ford,Electric_Vehicles,Asia_Pacific,1644,41097.05,0.0151,697.41,0.025,7500,0.0333,64.06,0.027
2010-01-31,Ford,Electric_Vehicles,China,1961,39023.96,0.0251,673.22,0.025,7500,0.0333,77.39,0.0306
2010-01-31,Hyundai-Kia,Passenger_Cars,North_America,23655,22029.63,0.0161,704.76,0.025,7500,0.0333,73.85,0.0374
2010-01-31,Hyundai-Kia,Passenger_Cars,Europe,22381,23168.05,0.0218,713.1,0.025,7500,0.0333,68.98,0.0289
2010-01-31,Hyundai-Kia,Passenger_Cars,Asia_Pacific,25768,22706.59,0.0202,679.41,0.025,7500,0.0333,84.47,0.0313
2010-01-31,Hyundai-Kia,Passenger_Cars,China,33713,22779.68,0.0186,653.44,0.025,7500,0.0333,81.36,0.0265
2010-01-31,Hyundai-Kia,Commercial_Vehicles,North_America,5866,39164.38,0.0159,665.38,0.025,7500,0.0333,72.05,0.0355
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Europe,6331,42677.54,0.0164,656.66,0.025,7500,0.0333,53.83,0.034
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,8562,41946.01,0.0264,673.01,0.025,7500,0.0333,71.33,0.0203
2010-01-31,Hyundai-Kia,Commercial_Vehicles,China,9042,39736.24,0.0207,724.73,0.025,7500,0.0333,58.97,0.0288
2010-01-31,Hyundai-Kia,Electric_Vehicles,North_America,1162,34994.95,0.0163,655.02,0.025,7500,0.0333,78.81,0.036
2010-01-31,Hyundai-Kia,Electric_Vehicles,Europe,1180,34721.74,0.0235,717.13,0.025,7500,0.0333,67.73,0.0266
2010-01-31,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1401,37076.02,0.0203,662.85,0.025,7500,0.0333,66.02,0.0284
2010-01-31,Hyundai-Kia,Electric_Vehicles,China,1689,34675.51,0.0231,700.36,0.025,7500,0.0333,64.0,0.0351
2010-01-31,Stellantis,Passenger_Cars,North_America,20109,24445.17,0.015,701.79,0.025,7500,0.0333,68.94,0.0331
2010-01-31,Stellantis,Passenger_Cars,Europe,23325,27091.54,0.0216,749.67,0.025,7500,0.0333,61.69,0.0299
2010-01-31,Stellantis,Passenger_Cars,Asia_Pacific,25507,25338.68,0.0231,744.15,0.025,7500,0.0333,57.2,0.0334
2010-01-31,Stellantis,Passenger_Cars,China,30735,26123.25,0.0184,644.82,0.025,7500,0.0333,70.96,0.0341
2010-01-31,Stellantis,Commercial_Vehicles,North_America,5709,48002.51,0.014,629.25,0.025,7500,0.0333,69.76,0.0279
2010-01-31,Stellantis,Commercial_Vehicles,Europe,6723,46846.41,0.0294,727.27,0.025,7500,0.0333,71.26,0.0307
2010-01-31,Stellantis,Commercial_Vehicles,Asia_Pacific,8386,48223.39,0.0225,739.93,0.025,7500,0.0333,61.99,0.0295
2010-01-31,Stellantis,Commercial_Vehicles,China,9139,47266.35,0.0151,671.07,0.025,7500,0.0333,67.1,0.0277
2010-01-31,Stellantis,Electric_Vehicles,North_America,1000,42518.0,0.0175,677.19,0.025,7500,0.0333,58.53,0.0274
2010-01-31,Stellantis,Electric_Vehicles,Europe,1169,40662.39,0.0193,674.64,0.025,7500,0.0333,80.93,0.0331
2010-01-31,Stellantis,Electric_Vehicles,Asia_Pacific,1223,43070.01,0.0157,687.23,0.025,7500,0.0333,81.14,0.0224
2010-01-31,Stellantis,Electric_Vehicles,China,1554,42070.11,0.019,717.74,0.025,7500,0.0333,60.8,0.036
2010-01-31,GM,Passenger_Cars,North_America,23936,26111.44,0.0223,730.39,0.025,7500,0.0333,65.86,0.0262
2010-01-31,GM,Passenger_Cars,Europe,29751,25247.38,0.0137,685.44,0.025,7500,0.0333,75.44,0.0329
2010-01-31,GM,Passenger_Cars,Asia_Pacific,33685,25496.32,0.0178,652.0,0.025,7500,0.0333,57.74,0.0303
2010-01-31,GM,Passenger_Cars,China,40517,23807.39,0.0183,674.98,0.025,7500,0.0333,73.37,0.0283
2010-01-31,GM,Commercial_Vehicles,North_America,6432,44163.36,0.0151,682.91,0.025,7500,0.0333,76.04,0.0394
2010-01-31,GM,Commercial_Vehicles,Europe,8472,43287.24,0.0205,681.89,0.025,7500,0.0333,74.11,0.0283
2010-01-31,GM,Commercial_Vehicles,Asia_Pacific,9111,44841.4,0.0177,728.7,0.025,7500,0.0333,78.64,0.0223
2010-01-31,GM,Commercial_Vehicles,China,10075,42955.37,0.0204,712.56,0.025,7500,0.0333,76.74,0.0296
2010-01-31,GM,Electric_Vehicles,North_America,1208,39359.34,0.0153,718.1,0.025,7500,0.0333,67.21,0.0366
2010-01-31,GM,Electric_Vehicles,Europe,1400,39432.21,0.0175,682.83,0.025,7500,0.0333,76.12,0.0288
2010-01-31,GM,Electric_Vehicles,Asia_Pacific,1550,41374.36,0.0212,708.06,0.025,7500,0.0333,69.6,0.0235
2010-01-31,GM,Electric_Vehicles,China,1666,39753.69,0.0226,717.44,0.025,7500,0.0333,80.57,0.0263
2010-02-28,Toyota,Passenger_Cars,North_America,34852,27747.25,0.0086,703.8,0.025,7500,0.0333,69.37,0.0332
2010-02-28,Toyota,Passenger_Cars,Europe,41691,26995.67,0.0213,648.79,0.025,7500,0.0333,73.03,0.03
2010-02-28,Toyota,Passenger_Cars,Asia_Pacific,46302,26955.03,0.02,733.46,0.025,7500,0.0333,91.94,0.0305
2010-02-28,Toyota,Passenger_Cars,China,53665,27452.38,0.0207,711.62,0.025,7500,0.0333,74.89,0.037
2010-02-28,Toyota,Commercial_Vehicles,North_America,9013,51003.9,0.0227,712.36,0.025,7500,0.0333,74.31,0.0219
2010-02-28,Toyota,Commercial_Vehicles,Europe,13243,49881.54,0.0175,752.8,0.025,7500,0.0333,72.96,0.026
2010-02-28,Toyota,Commercial_Vehicles,Asia_Pacific,14595,50687.09,0.0226,694.31,0.025,7500,0.0333,80.39,0.0202
2010-02-28,Toyota,Commercial_Vehicles,China,14703,50926.84,0.029,700.1,0.025,7500,0.0333,72.55,0.041
2010-02-28,Toyota,Electric_Vehicles,North_America,1540,44078.39,0.0195,739.19,0.025,7500,0.0333,61.33,0.0244
2010-02-28,Toyota,Electric_Vehicles,Europe,2036,43400.37,0.0232,730.79,0.025,7500,0.0333,79.77,0.0335
2010-02-28,Toyota,Electric_Vehicles,Asia_Pacific,2382,44948.97,0.0292,720.32,0.025,7500,0.0333,76.11,0.0239
2010-02-28,Toyota,Electric_Vehicles,China,2763,43198.91,0.019,705.59,0.025,7500,0.0333,72.01,0.0313
2010-02-28,Volkswagen,Passenger_Cars,North_America,30909,28335.03,0.0251,657.2,0.025,7500,0.0333,91.51,0.026
2010-02-28,Volkswagen,Passenger_Cars,Europe,37391,31136.23,0.0287,754.55,0.025,7500,0.0333,79.24,0.0362
2010-02-28,Volkswagen,Passenger_Cars,Asia_Pacific,39472,29427.16,0.0322,754.98,0.025,7500,0.0333,82.21,0.0334
2010-02-28,Volkswagen,Passenger_Cars,China,43844,28714.75,0.0165,675.59,0.025,7500,0.0333,71.13,0.0347
2010-02-28,Volkswagen,Commercial_Vehicles,North_America,7447,51089.06,0.0312,737.58,0.025,7500,0.0333,75.25,0.0307
2010-02-28,Volkswagen,Commercial_Vehicles,Europe,10965,48910.29,0.024,732.82,0.025,7500,0.0333,70.85,0.0378
2010-02-28,Volkswagen,Commercial_Vehicles,Asia_Pacific,12861,52834.85,0.0249,742.58,0.025,7500,0.0333,67.39,0.0294
2010-02-28,Volkswagen,Commercial_Vehicles,China,11757,53280.26,0.0202,695.54,0.025,7500,0.0333,77.26,0.0303
2010-02-28,Volkswagen,Electric_Vehicles,North_America,1513,44848.25,0.018,640.96,0.025,7500,0.0333,70.21,0.0234
2010-02-28,Volkswagen,Electric_Vehicles,Europe,2033,44314.83,0.0179,719.99,0.025,7500,0.0333,72.82,0.0276
2010-02-28,Volkswagen,Electric_Vehicles,Asia_Pacific,1976,42761.2,0.0138,690.73,0.025,7500,0.0333,81.59,0.0204
2010-02-28,Volkswagen,Electric_Vehicles,China,2462,46068.97,0.0222,717.57,0.025,7500,0.0333,88.61,0.0273
2010-02-28,Ford,Passenger_Cars,North_America,24656,24734.85,0.0148,705.93,0.025,7500,0.0333,74.08,0.037
2010-02-28,Ford,Passenger_Cars,Europe,29660,24870.31,0.0123,746.18,0.025,7500,0.0333,76.48,0.033
2010-02-28,Ford,Passenger_Cars,Asia_Pacific,33697,25625.59,0.0287,675.75,0.025,7500,0.0333,86.94,0.0306
2010-02-28,Ford,Passenger_Cars,China,38344,24772.64,0.0263,714.96,0.025,7500,0.0333,67.24,0.0295
2010-02-28,Ford,Commercial_Vehicles,North_America,6870,46745.85,0.0204,730.24,0.025,7500,0.0333,65.98,0.0284
2010-02-28,Ford,Commercial_Vehicles,Europe,9739,45843.93,0.0337,710.01,0.025,7500,0.0333,78.56,0.0256
2010-02-28,Ford,Commercial_Vehicles,Asia_Pacific,10385,45201.7,0.0187,760.87,0.025,7500,0.0333,66.3,0.0322
2010-02-28,Ford,Commercial_Vehicles,China,11129,45034.95,0.0109,727.22,0.025,7500,0.0333,79.42,0.0297
2010-02-28,Ford,Electric_Vehicles,North_America,1159,39699.27,0.0227,720.74,0.025,7500,0.0333,84.5,0.0304
2010-02-28,Ford,Electric_Vehicles,Europe,1449,39055.34,0.0182,757.57,0.025,7500,0.0333,70.59,0.0307
2010-02-28,Ford,Electric_Vehicles,Asia_Pacific,1806,40564.63,0.0145,720.73,0.025,7500,0.0333,56.23,0.0344
2010-02-28,Ford,Electric_Vehicles,China,1877,41168.75,0.0159,733.2,0.025,7500,0.0333,61.47,0.0425
2010-02-28,Hyundai-Kia,Passenger_Cars,North_America,22186,22973.98,0.0169,732.45,0.025,7500,0.0333,83.49,0.032
2010-02-28,Hyundai-Kia,Passenger_Cars,Europe,27640,22863.31,0.0202,730.71,0.025,7500,0.0333,72.23,0.0397
2010-02-28,Hyundai-Kia,Passenger_Cars,Asia_Pacific,28313,22769.15,0.0191,723.62,0.025,7500,0.0333,85.94,0.0371
2010-02-28,Hyundai-Kia,Passenger_Cars,China,35168,21726.54,0.0158,746.67,0.025,7500,0.0333,89.99,0.0289
2010-02-28,Hyundai-Kia,Commercial_Vehicles,North_America,6809,41513.73,0.0256,716.27,0.025,7500,0.0333,62.5,0.0275
2010-02-28,Hyundai-Kia,Commercial_Vehicles,Europe,7511,39547.87,0.0179,762.77,0.025,7500,0.0333,81.95,0.0348
2010-02-28,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,7978,39950.1,0.0264,682.71,0.025,7500,0.0333,79.42,0.0294
2010-02-28,Hyundai-Kia,Commercial_Vehicles,China,10804,40256.19,0.0209,724.0,0.025,7500,0.0333,86.31,0.0335
2010-02-28,Hyundai-Kia,Electric_Vehicles,North_America,1010,36174.75,0.0152,738.18,0.025,7500,0.0333,62.85,0.0275
2010-02-28,Hyundai-Kia,Electric_Vehicles,Europe,1418,34765.25,0.017,707.89,0.025,7500,0.0333,71.79,0.0373
2010-02-28,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1591,37291.03,0.0269,716.72,0.025,7500,0.0333,58.93,0.0358
2010-02-28,Hyundai-Kia,Electric_Vehicles,China,1771,36004.6,0.0173,706.44,0.025,7500,0.0333,54.44,0.0303
2010-02-28,Stellantis,Passenger_Cars,North_America,23551,26987.05,0.0278,686.87,0.025,7500,0.0333,65.09,0.0343
2010-02-28,Stellantis,Passenger_Cars,Europe,21809,27285.54,0.0193,724.14,0.025,7500,0.0333,65.99,0.0336
2010-02-28,Stellantis,Passenger_Cars,Asia_Pacific,28071,25931.5,0.0175,669.6,0.025,7500,0.0333,70.45,0.0327
2010-02-28,Stellantis,Passenger_Cars,China,36262,26739.23,0.0238,714.28,0.025,7500,0.0333,85.19,0.0232
2010-02-28,Stellantis,Commercial_Vehicles,North_America,5634,46090.11,0.0294,680.62,0.025,7500,0.0333,76.05,0.0354
2010-02-28,Stellantis,Commercial_Vehicles,Europe,7528,48635.95,0.0264,738.03,0.025,7500,0.0333,82.94,0.0396
2010-02-28,Stellantis,Commercial_Vehicles,Asia_Pacific,8271,46794.15,0.0221,700.27,0.025,7500,0.0333,75.34,0.0233
2010-02-28,Stellantis,Commercial_Vehicles,China,8517,46970.53,0.0228,700.11,0.025,7500,0.0333,65.31,0.0291
2010-02-28,Stellantis,Electric_Vehicles,North_America,1024,42489.72,0.0108,756.44,0.025,7500,0.0333,59.56,0.0372
2010-02-28,Stellantis,Electric_Vehicles,Europe,1191,41432.26,0.027,717.01,0.025,7500,0.0333,94.59,0.0394
2010-02-28,Stellantis,Electric_Vehicles,Asia_Pacific,1462,41682.2,0.0219,711.1,0.025,7500,0.0333,62.1,0.0405
2010-02-28,Stellantis,Electric_Vehicles,China,1666,41750.76,0.0161,706.45,0.025,7500,0.0333,75.14,0.0355
2010-02-28,GM,Passenger_Cars,North_America,22516,23936.76,0.0314,675.23,0.025,7500,0.0333,85.54,0.023
2010-02-28,GM,Passenger_Cars,Europe,32362,26376.05,0.0225,742.83,0.025,7500,0.0333,80.14,0.0301
2010-02-28,GM,Passenger_Cars,Asia_Pacific,32993,25885.06,0.0201,707.7,0.025,7500,0.0333,66.1,0.0351
2010-02-28,GM,Passenger_Cars,China,32045,24459.89,0.0264,683.44,0.025,7500,0.0333,76.58,0.0345
2010-02-28,GM,Commercial_Vehicles,North_America,7296,44873.04,0.0196,690.48,0.025,7500,0.0333,62.95,0.0409
2010-02-28,GM,Commercial_Vehicles,Europe,9395,44877.18,0.0193,762.89,0.025,7500,0.0333,65.61,0.0296
2010-02-28,GM,Commercial_Vehicles,Asia_Pacific,10679,45170.22,0.0223,671.08,0.025,7500,0.0333,91.33,0.0333
2010-02-28,GM,Commercial_Vehicles,China,9852,45114.5,0.0263,695.82,0.025,7500,0.0333,74.23,0.0277
2010-02-28,GM,Electric_Vehicles,North_America,1169,39724.78,0.0192,671.77,0.025,7500,0.0333,68.02,0.0299
2010-02-28,GM,Electric_Vehicles,Europe,1422,40257.2,0.0099,767.38,0.025,7500,0.0333,76.51,0.0326
2010-02-28,GM,Electric_Vehicles,Asia_Pacific,1874,38561.47,0.0257,728.87,0.025,7500,0.0333,80.29,0.0369
2010-02-28,GM,Electric_Vehicles,China,2094,37172.92,0.0323,639.16,0.025,7500,0.0333,74.41,0.0415
2010-03-31,Toyota,Passenger_Cars,North_America,34313,26898.55,0.0147,706.18,0.025,7500,0.0333,70.97,0.0307
2010-03-31,Toyota,Passenger_Cars,Europe,36340,28284.46,0.0116,672.12,0.025,7500,0.0333,83.94,0.0364
2010-03-31,Toyota,Passenger_Cars,Asia_Pacific,43149,26957.13,0.0138,676.24,0.025,7500,0.0333,69.94,0.0251
2010-03-31,Toyota,Passenger_Cars,China,51340,27386.0,0.0206,706.47,0.025,7500,0.0333,81.58,0.0332
2010-03-31,Toyota,Commercial_Vehicles,North_America,10055,50552.89,0.0192,705.91,0.025,7500,0.0333,78.32,0.0353
2010-03-31,Toyota,Commercial_Vehicles,Europe,10709,51275.3,0.0226,723.69,0.025,7500,0.0333,83.32,0.0291
2010-03-31,Toyota,Commercial_Vehicles,Asia_Pacific,13168,52262.6,0.0202,740.16,0.025,7500,0.0333,78.78,0.0329
2010-03-31,Toyota,Commercial_Vehicles,China,14102,51312.96,0.0217,746.03,0.025,7500,0.0333,71.33,0.0357
2010-03-31,Toyota,Electric_Vehicles,North_America,1754,43942.47,0.0255,702.63,0.025,7500,0.0333,80.79,0.0282
2010-03-31,Toyota,Electric_Vehicles,Europe,2048,42836.76,0.0101,681.78,0.025,7500,0.0333,86.34,0.032
2010-03-31,Toyota,Electric_Vehicles,Asia_Pacific,2450,43839.66,0.031,747.24,0.025,7500,0.0333,64.97,0.0356
2010-03-31,Toyota,Electric_Vehicles,China,2931,45325.72,0.0228,692.0,0.025,7500,0.0333,92.11,0.0304
2010-03-31,Volkswagen,Passenger_Cars,North_America,28861,29536.28,0.0266,721.13,0.025,7500,0.0333,80.32,0.0302
2010-03-31,Volkswagen,Passenger_Cars,Europe,36516,28589.39,0.0232,772.93,0.025,7500,0.0333,63.94,0.0345
2010-03-31,Volkswagen,Passenger_Cars,Asia_Pacific,41631,28095.58,0.0233,760.6,0.025,7500,0.0333,89.93,0.0365
2010-03-31,Volkswagen,Passenger_Cars,China,38782,27994.79,0.0148,717.05,0.025,7500,0.0333,80.22,0.033
2010-03-31,Volkswagen,Commercial_Vehicles,North_America,8932,52374.12,0.0237,680.47,0.025,7500,0.0333,84.12,0.0305
2010-03-31,Volkswagen,Commercial_Vehicles,Europe,11834,52340.26,0.0206,702.93,0.025,7500,0.0333,78.69,0.0296
2010-03-31,Volkswagen,Commercial_Vehicles,Asia_Pacific,12807,49740.43,0.0198,690.96,0.025,7500,0.0333,69.75,0.0323
2010-03-31,Volkswagen,Commercial_Vehicles,China,15314,52039.56,0.0229,660.26,0.025,7500,0.0333,89.28,0.0318
2010-03-31,Volkswagen,Electric_Vehicles,North_America,1689,47296.42,0.0237,738.27,0.025,7500,0.0333,88.92,0.0372
2010-03-31,Volkswagen,Electric_Vehicles,Europe,1618,45290.03,0.0226,707.17,0.025,7500,0.0333,76.63,0.0299
2010-03-31,Volkswagen,Electric_Vehicles,Asia_Pacific,2722,43705.53,0.0226,665.19,0.025,7500,0.0333,84.24,0.0421
2010-03-31,Volkswagen,Electric_Vehicles,China,2566,45400.9,0.0257,734.45,0.025,7500,0.0333,103.32,0.0322
2010-03-31,Ford,Passenger_Cars,North_America,23685,25059.79,0.0261,744.34,0.025,7500,0.0333,69.46,0.0349
2010-03-31,Ford,Passenger_Cars,Europe,28904,26340.84,0.0104,719.1,0.025,7500,0.0333,75.28,0.0259
2010-03-31,Ford,Passenger_Cars,Asia_Pacific,31922,24284.58,0.0187,748.0,0.025,7500,0.0333,64.04,0.0268
2010-03-31,Ford,Passenger_Cars,China,35690,25964.21,0.0094,760.13,0.025,7500,0.0333,76.35,0.033
2010-03-31,Ford,Commercial_Vehicles,North_America,7884,44732.86,0.0199,764.49,0.025,7500,0.0333,96.24,0.0409
2010-03-31,Ford,Commercial_Vehicles,Europe,9559,44574.76,0.0212,687.45,0.025,7500,0.0333,88.98,0.0265
2010-03-31,Ford,Commercial_Vehicles,Asia_Pacific,11148,43189.09,0.0305,763.11,0.025,7500,0.0333,95.37,0.0377
2010-03-31,Ford,Commercial_Vehicles,China,12014,43656.46,0.0204,708.9,0.025,7500,0.0333,80.2,0.0337
2010-03-31,Ford,Electric_Vehicles,North_America,1148,39627.94,0.015,729.23,0.025,7500,0.0333,80.57,0.0356
2010-03-31,Ford,Electric_Vehicles,Europe,1532,40925.24,0.0195,731.76,0.025,7500,0.0333,82.1,0.0318
2010-03-31,Ford,Electric_Vehicles,Asia_Pacific,1728,39921.63,0.0194,722.99,0.025,7500,0.0333,74.05,0.0403
2010-03-31,Ford,Electric_Vehicles,China,1920,37969.77,0.019,740.02,0.025,7500,0.0333,82.63,0.0392
2010-03-31,Hyundai-Kia,Passenger_Cars,North_America,23197,23473.11,0.0347,785.34,0.025,7500,0.0333,83.86,0.0283
2010-03-31,Hyundai-Kia,Passenger_Cars,Europe,24808,22146.84,0.0257,729.86,0.025,7500,0.0333,62.05,0.0278
2010-03-31,Hyundai-Kia,Passenger_Cars,Asia_Pacific,31505,22687.1,0.0167,687.0,0.025,7500,0.0333,67.02,0.0299
2010-03-31,Hyundai-Kia,Passenger_Cars,China,32426,21632.37,0.0135,722.9,0.025,7500,0.0333,68.5,0.0239
2010-03-31,Hyundai-Kia,Commercial_Vehicles,North_America,5590,38685.46,0.0199,718.25,0.025,7500,0.0333,68.18,0.0313
2010-03-31,Hyundai-Kia,Commercial_Vehicles,Europe,7735,40430.33,0.0109,716.08,0.025,7500,0.0333,62.24,0.0343
2010-03-31,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,8210,41080.74,0.0225,706.22,0.025,7500,0.0333,72.66,0.0322
2010-03-31,Hyundai-Kia,Commercial_Vehicles,China,10822,40379.61,0.0257,739.23,0.025,7500,0.0333,92.37,0.0396
2010-03-31,Hyundai-Kia,Electric_Vehicles,North_America,1337,35198.06,0.0247,740.33,0.025,7500,0.0333,73.42,0.0242
2010-03-31,Hyundai-Kia,Electric_Vehicles,Europe,1347,36589.1,0.027,688.44,0.025,7500,0.0333,83.0,0.038
2010-03-31,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1286,34340.14,0.0194,718.24,0.025,7500,0.0333,80.23,0.032
2010-03-31,Hyundai-Kia,Electric_Vehicles,China,2038,35145.33,0.0192,664.7,0.025,7500,0.0333,75.5,0.0317
2010-03-31,Stellantis,Passenger_Cars,North_America,19615,25388.53,0.0286,711.77,0.025,7500,0.0333,86.21,0.0387
2010-03-31,Stellantis,Passenger_Cars,Europe,24379,26402.75,0.0202,681.23,0.025,7500,0.0333,88.44,0.028
2010-03-31,Stellantis,Passenger_Cars,Asia_Pacific,28050,27174.47,0.0136,747.09,0.025,7500,0.0333,97.47,0.0474
2010-03-31,Stellantis,Passenger_Cars,China,35382,25505.97,0.0237,741.89,0.025,7500,0.0333,78.78,0.0283
2010-03-31,Stellantis,Commercial_Vehicles,North_America,6187,48917.06,0.0199,743.24,0.025,7500,0.0333,93.64,0.0373
2010-03-31,Stellantis,Commercial_Vehicles,Europe,7897,44035.89,0.0161,731.71,0.025,7500,0.0333,68.7,0.0309
2010-03-31,Stellantis,Commercial_Vehicles,Asia_Pacific,9349,46601.76,0.0289,729.98,0.025,7500,0.0333,88.13,0.0386
2010-03-31,Stellantis,Commercial_Vehicles,China,9919,48236.27,0.0177,724.72,0.025,7500,0.0333,92.54,0.028
2010-03-31,Stellantis,Electric_Vehicles,North_America,1069,41039.97,0.0205,661.52,0.025,7500,0.0333,79.97,0.0295
2010-03-31,Stellantis,Electric_Vehicles,Europe,1356,42108.92,0.0144,670.51,0.025,7500,0.0333,69.52,0.0402
2010-03-31,Stellantis,Electric_Vehicles,Asia_Pacific,1379,41233.7,0.0143,737.98,0.025,7500,0.0333,80.48,0.0308
2010-03-31,Stellantis,Electric_Vehicles,China,1695,43159.62,0.0181,714.64,0.025,7500,0.0333,82.02,0.0306
2010-03-31,GM,Passenger_Cars,North_America,25411,25190.49,0.0135,724.85,0.025,7500,0.0333,86.34,0.0331
2010-03-31,GM,Passenger_Cars,Europe,30330,25186.71,0.0249,652.26,0.025,7500,0.0333,85.78,0.0301
2010-03-31,GM,Passenger_Cars,Asia_Pacific,35570,24695.72,0.0174,738.42,0.025,7500,0.0333,87.49,0.0332
2010-03-31,GM,Passenger_Cars,China,39712,24438.06,0.027,720.21,0.025,7500,0.0333,79.01,0.034
2010-03-31,GM,Commercial_Vehicles,North_America,7771,46547.33,0.0296,729.93,0.025,7500,0.0333,72.26,0.0291
2010-03-31,GM,Commercial_Vehicles,Europe,9882,45834.48,0.0259,728.81,0.025,7500,0.0333,66.18,0.0301
2010-03-31,GM,Commercial_Vehicles,Asia_Pacific,13449,45381.32,0.0291,702.39,0.025,7500,0.0333,74.58,0.0328
